,Lemma,Word list,Total F,Coverage,Cumulative,Unnamed: 5,67205779
0,be,1 - NGSL,4264870,0.06345987002099923,0.06345987002099923,,
1,the,1 - NGSL,3475605,0.05169793160377653,0.11515780162477576,,
2,and,1 - NGSL,2121513,0.031556472605639235,0.146714274230415,,
3,to,1 - NGSL,1940819,0.028868737361498205,0.1755830115919132,,
4,a,1 - NGSL,1816881,0.027025219974709757,0.20260823156662294,,
5,of,1 - NGSL,1648348,0.024518373682631323,0.22712660524925427,,
6,you,1 - NGSL,1622344,0.024131576847713488,0.25125818209696776,,
7,it,1 - NGSL,1415458,0.021054248360218818,0.27231243045718656,,
8,in,1 - NGSL,1252992,0.01863764573824677,0.29095007619543334,,
9,have,1 - NGSL,1240265,0.018448337811850856,0.3093984140072842,,
10,that,1 - NGSL,1039265,0.01545856070761747,0.32485697471490166,,
11,we,1 - NGSL,961357,0.014299717152211426,0.33915669186711306,,
12,not,1 - NGSL,950725,0.014141571330459141,0.3532982631975722,,
13,they,1 - NGSL,944070,0.0140425814467344,0.3673408446443066,,
14,do,1 - NGSL,940476,0.01398912244716915,0.38132996709147576,,
15,he,1 - NGSL,735779,0.010944354268536008,0.3922743213600118,,
16,this,1 - NGSL,618313,0.009197104729601287,0.40147142608961306,,
17,for,1 - NGSL,582665,0.008666858091732073,0.4101382841813451,,
18,on,1 - NGSL,534059,0.007943867514974024,0.4180821516963191,,
19,but,1 - NGSL,474883,0.007063653336266984,0.4251458050325861,,
20,know,1 - NGSL,465798,0.006928518386058226,0.4320743234186443,,
21,go,1 - NGSL,452496,0.006730657614712392,0.4388049810333567,,
22,so,1 - NGSL,425462,0.00632854003144948,0.4451335210648062,,
23,with,1 - NGSL,415731,0.006183796145870898,0.4513173172106771,,
24,get,1 - NGSL,413775,0.006154701598528208,0.4574720188092053,,
25,say,1 - NGSL,411913,0.006127005255403419,0.46359902406460873,,
26,think,1 - NGSL,384286,0.005716067085957371,0.4693150911505661,,
27,I,1 - NGSL,383365,0.005702367659524541,0.4750174588100906,,
28,there,1 - NGSL,360610,0.005363898117202,0.4803813569272926,,
29,will,1 - NGSL,349873,0.005204190471589294,0.48558554739888193,,
30,at,1 - NGSL,341505,0.005079720547170263,0.4906652679460522,,
31,as,1 - NGSL,340899,0.0050707065923186944,0.49573597453837087,,
32,what,1 - NGSL,334415,0.004974260250309494,0.5007102347886804,,
33,about,1 - NGSL,330507,0.004916130653675941,0.5056263654423563,,
34,like,1 - NGSL,300212,0.004465507283662257,0.5100918727260185,,
35,she,1 - NGSL,296431,0.004409266750174166,0.5145011394761927,,
36,just,1 - NGSL,282449,0.004201291310017991,0.5187024307862107,,
37,one,1 - NGSL,277881,0.0041333445348332234,0.522835775321044,,
38,well,1 - NGSL,271516,0.004038668259865833,0.5268744435809098,,
39,if,1 - NGSL,269543,0.0040093208458028854,0.5308837644267127,,
40,or,1 - NGSL,266738,0.003967597836960226,0.5348513622636729,,
41,from,1 - NGSL,263455,0.0039187648109244135,0.5387701270745974,,
42,all,1 - NGSL,259133,0.0038544771659269174,0.5426246042405243,,
43,people,1 - NGSL,237759,0.003536549325997144,0.5461611535665214,,
44,would,1 - NGSL,218873,0.003255629274302857,0.5494167828408243,,
45,pause,1 - NGSL,207834,0.003091429525777323,0.5525082123666016,,
46,can,1 - NGSL,207715,0.003089659458735513,0.5555978718253372,,
47,out,1 - NGSL,203991,0.003034266772485935,0.5586321385978231,,
48,because,1 - NGSL,200782,0.002986534460408896,0.561618673058232,,
49,who,1 - NGSL,197949,0.002944394965203457,0.5645630680234355,,
50,unclear,1 - NGSL,197788,0.0029420001686174787,0.5675050681920529,,
51,up,1 - NGSL,197290,0.002934592661165199,0.5704396608532182,,
52,when,1 - NGSL,193671,0.0028807617987760418,0.5733204226519942,,
53,now,1 - NGSL,188216,0.0027996213305989614,0.5761200439825932,,
54,right,1 - NGSL,182417,0.002713364029964885,0.5788334080125581,,
55,some,1 - NGSL,182312,0.0027118022061044644,0.5815452102186626,,
56,see,1 - NGSL,180382,0.0026830943960986413,0.5842283046147612,,
57,very,1 - NGSL,179873,0.0026755232690038413,0.586903827883765,,
58,come,1 - NGSL,173959,0.0025875553993797806,0.5894913832831449,,
